Title,Subject,Audience,Send Date,Send Weekday,Total Recipients,Unique Id
Philly Bike Action Newsletter,Philly Bike Action! (Our first email),Philly Bike Action,"Jun 01, 2023 09:46 pm",Thursday,33,031aae0fbe
Philly Bike Action Newsletter,Philly Bike Action!,Philly Bike Action,"Jun 18, 2023 10:34 am",Sunday,51,8513aa4943
Philly Bike Action Newsletter (copy 03),Philly Bike Action!,Philly Bike Action,"Jul 02, 2023 12:13 pm",Sunday,83,9c5afed75a
Philly Bike Action (Event Reminder),Philly Bike Action!,Philly Bike Action,"Jul 08, 2023 04:06 pm",Saturday,95,06f9c9897e
Philly Bike Action Newsletter (copy 04),Philly Bike Action!,Philly Bike Action,"Jul 16, 2023 02:06 pm",Sunday,107,b0da4a3997
Philly Bike Action Newsletter (copy 05),Philly Bike Action!,Philly Bike Action,"Aug 10, 2023 07:51 am",Thursday,122,6864086a17
Philly Bike Action (Sticker Fundraiser),Philly Bike Action Sticker Order,Philly Bike Action,"Aug 16, 2023 07:52 pm",Wednesday,133,d7c82b56f4
Philly Bike Action Newsletter (copy 08),Philly Bike Action!,Philly Bike Action,"Sep 09, 2023 01:02 pm",Saturday,153,b7367f0110
Philly Bike Action (Sticker Fundraiser) (copy 01),Philly Bike Action Sticker Order,Philly Bike Action,"Sep 10, 2023 07:48 am",Sunday,153,4fcb38eec4
Philly Bike Action (Sticker Fundraiser) (copy 03),Sunday Slow Ride! 2 Days Away!,Philly Bike Action,"Sep 15, 2023 05:40 pm",Friday,157,e5dfe73c81
Philly Bike Action (Event Reminder),Philly Bike Action Citywide Meeting Tomorrow,Philly Bike Action,"Oct 01, 2023 08:57 am",Sunday,170,5335ce21c9
Philly Bike Action (Event Reminder) (copy 01),Philly Bike Action Citywide Meeting Tomorrow,Philly Bike Action,"Oct 07, 2023 04:22 pm",Saturday,173,974b3a08ce
Philly Bike Action (Event Reminder) (copy 02),Philly Bike Action District 1 Meeting Tomorrow,Philly Bike Action,"Oct 29, 2023 07:49 pm",Sunday,184,fc8e0deadf
Philly Bike Action Newsletter (copy 09),Philly Bike Action November Newsletter,Philly Bike Action,"Oct 31, 2023 08:42 pm",Tuesday,186,0090c73035
Philly Bike Action (Event Reminder) (copy 03),Philly Bike Action Citywide Meeting Tonight,Philly Bike Action,"Nov 13, 2023 01:08 pm",Monday,204,96624ca0b7
Philly Bike Action (Event Reminder) (copy 04),Philly Bike Action Citywide Meeting Tomorrow (Dec 4th),Philly Bike Action,"Dec 03, 2023 12:25 pm",Sunday,221,5b5b7ce638
Philly Bike Action (Event Reminder) (copy 05),Call to Action (Do not renew bike lane parking permits!),Philly Bike Action,"Dec 19, 2023 11:00 pm",Tuesday,237,6131102823
Philly Bike Action Newsletter (copy 10),Philly Bike Action January Newsletter,Philly Bike Action,"Dec 31, 2023 03:00 pm",Sunday,243,3150daf076
